y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
72.9,14,4,0.49,216.7029481,95,408,27.9,4,94,3.4,94,0.1,4167.364387,24198811,9.5,9.3,0.723,12
69.5,22,0,4.72,685.0299083,84,0,52.6,0,84,5.92,84,0.8,5761.39536,5975,3.5,3.4,0.684,11.7
77.6,119,1,6.74,1842.463782,8,0,57.1,1,8,8.3,8,0.1,12593.7374,393986,1.9,1.8,0.78,13
63,189,377,0.01,1.766663097,65.3684051397019,3849,16.9,483,68,2.61,65,0.1,51.6568157,14161437,22,22.4,0.45,5.4
46.6,554,116,10.47,22.59447461,51.3366487594418,42554,13,191,55,6.77,52,11.6,257.63369,2439274,7,7,0.382,9.8
67.6,256,6,4.89,115.738974,48,7587,55.4,7,99,6.25,99,0.9,879.475486,48225,2.9,3,0.683,13.9
73.9,151,0,12.68,0,99,0,41.3,0,99,6.81,99,0.1,79.0716297752986,0,4.3,4.4,0.707,12.8
79.2,85,3,11.67,6012.92584,9,778,57.6,3,95,1.52,96,0.1,34696.6292,82469422,1.1,1.1,0.884,16.4
63,294,61,1.73,56.58984221,9,95,18.9,89,9,3.97,9,4.3,967.34773,4135152,8.2,8,0.523,11.1
68.8,182,0,0.01,24.73328608,94,0,48.9,0,99,5.42,94,0.1,188.5159,563513,1.1,1.2,0.509,9.5
53.7,278,55,0.11,3.751715442,47.9651893882642,2183,15.4,114,46,7.15,45,1.6,25.383731,13618449,11.9,11.8,0.278,3.5
67.1,192,0,0.01,200.6600988,97,0,29.3,0,97,9.76,97,0.2,1619.532678,18745,5.7,5.5,0.559,11
79.3,82,4,11.61,0,88.1460864619696,764,61.3,4,92,8.36,92,0.1,55.0318684567278,384.00928660391,0.7,0.5,6.92127441550805,7.23119335623764
66.1,195,15,2.13,48.35423978,92,4779,15.9,17,95,6.36,94,0.6,738.2326684,14928,11.1,11.4,0.52,10.5
64.2,234,140,0.01,89.95805845,77,12739,17.2,202,75,4.88,77,0.6,571.1622759,97366774,1.5,1.3,0.435,8.4
56.7,287,4,3.21,53.30782696,83,26,23.1,7,82,6.7,83,5.9,543.957418,155588,8,7.9,0.405,8.9
74.5,141,3,3.03,20.83302367,99,60,2.5,4,99,3.28,99,0.1,322.992615,2271,15.3,15.3,0.746,13.6
74.9,13,3,1.29,594.6453102,98,16,59.3,3,98,7.26,98,0.1,4199.47253,1114558,6.4,6.3,0.72,14.7
74.5,153,9,6.5,788.6873403,99,2641,31.3,10,99,4,99,0.1,6171.262444,6814365,7.9,7.9,0.733,13.6
73.5,127,9,0.92,116.2585943,83,375,47.6,10,83,4.11,8,0.1,1577.457182,18294611,6.5,6.3,0.624,11
75.7,136,0,7.84,1810.875316,99,0,45.1,0,99,5.65,99,0.1,11929.34991,3976.41428193302,3.3,3.3,0.782,14.1
71.5,175,5,1.45,60.4909815,90.6549116302492,16527,14.1,6,99,3.77,99,0.1,875.412178,18655,15.3,15.5,0.677,12.4
65.4,29,49,0.3,17.48293752,92,190,19.8,65,9,1.92,9,0.5,987.7365832,5155896,13.1,13.3,0.515,8.8
61,246,11,3.68,0,49,295,14.9,16,5,4.32,49,0.2,93.3103545122254,155.503409161172,1,1.1,0.494,8.7
69.1,194,0,4.55,516.7112481,84.3542750800894,0,34.4,1,91,4.4,91,1.2,6935.721451,127238,6.6,7.1,0.715,11.8
67.5,216,62,4.19,137.327474,87,530,21.1,80,87,3.94,87,0.1,1672.685433,8929349,1,9.7,0.648,11.4
64.9,26,20,0.32,1.431051664,92,18,22.2,31,89,4.42,92,0.4,18.25321,13391,1.2,1.1,0.455,7.9
51,413,22,3.45088354442393,0,86,607,24.4,30,86,7.35023344003807,86,0.5,587.538233,723725,7.4,7.3,0.431,9.5
73.3,144,0,8.25,780.4459281,97,0,46.5,0,98,6.15,97,0.1,7955.615985,2651.84819482998,3.8,3.8,0.746,15.8
72.7,157,3,6.14,34.73924576,87,0,44.9,4,85,7.6,89,0.1,359.992184,647117,2.1,2.1,0.654,11.9
82,75,0,11.12,6478.346135,90.3121784237676,700,51.3,0,95,1.28,93,0.1,38538.64447,7229854,0.7,0.5,0.888,15.2
73.1,167,10,6.89,0,6,2392,54.7,12,81,4.93,65,0.1,73.3807829707394,1202.0290817333,1.7,1.7,0.684,11
68.9,243,1,12.6,364.426052,98,149,57.2,1,97,6.34,99,0.1,3848.215966,964924,2.2,2.4,0.723,14.6
81.6,61,2,7.25,5243.316638,96,351,6.5,2,96,9.41,96,0.1,36976.84512,5995365,0.5,0.5,0.868,16.3
81.7,58,1,0.01,1491.703605,92,140,61.6,1,96,1.9,96,0.1,52157.4687,168658,1,0.9,0.923,18.1
49,43,93,1.14,47.17250718,39.9018527955074,7375,16.5,136,69,6.16,7,12.2,277.6486591,1867687,4.2,4.1,0.291,5.4
78,1,1,4.04,1070.268999,86,1,48.3,1,88,8.45,88,0.1,4167.71417,4125971,2.2,2.1,0.715,12.1
48.6,46,45,0.42,8.936064632,36.0628857400483,2,15.4,79,37,3.91,25,5.2,66.2421396,1679,1.5,1.4,0.306,5.6
73.8,88,1,0.03,2078.392748,99,0,67.5,1,99,1.93,99,0.1,55571.9986,18524.1666097828,3.3,3.1,0.787,13.8
59,27,40,4.64,88.97040214,88,375,18.2,66,89,5.91,88,0.7,699.452847,1772723,8.4,7.9,0.392,7.5
72.5,146,0,2.05,568.8692813,87,0,7.8,0,88,5.82,87,0.1,2932.315883,12357,0.1,0.1,0.698,14.5
68,282,18,6.39,0.661540371,97,6,17.1,28,97,7.66,97,3.7,5.6687264,978169,6.7,6.6,0.438,10.4
63.5,276,2,8.3,805.3925284,82,2,34.6,3,8,3.13,82,4.9,9774.18117,1756817,6.3,6.2,0.669,12.5
80,56,0,10.55,2159.756205,96,1,58.7,0,99,7.44,99,0.1,28951.15556,113562,0.9,1,0.85,13.8
73.6,133,0,4.3415091037645,527.3076721,73.6,0,55.7,0,73.6,8.46,73.6,0.1,3674.617924,614261,2.3,2.3,0.746,12.8
43.3,48,30,3.83,42.08892911,59.0651804035374,29,19.2,47,67,12.25,65,2.2,287.6891942,5658379,9.3,9.3,0.341,7.8
54.3,369,27,0,0,54.3,0,25.7198650480512,42,54.3,0,54.3,4.2,1264.78998,967667,0,0,0,0
63,328,29,2.41,20.62306285,79,35,22.3,42,74,4.99,79,4.8,185.793359,1515321,6.4,6.2,0.565,12.5
54.5,277,54,0.11,43.42193066,52.3872090419841,59,15.7,110,52,7.39,51,1.5,258.463873,1413264,11.6,11.5,0.286,3.7
77.6,119,0,1.31236421804672,0,91,4,59.9,0,93,1.9,93,0.1,1774.9291,131547,1.9,1.9,0.863,16.5
73.9,147,3,0.01,561.7684701,87,0,49.4,3,83,9.81,87,0.2,4712.822736,6552584,2,1.9,0.688,12.3
78.4,81,1,9.68,3455.197053,91.3556856844595,3,53.4,1,97,8.34,97,0.1,28817.32321,16148929,1.1,1,0.882,16.9
56.1,339,3,9.93,1192.696619,52.5484421701999,0,22.1,4,59,3.84,44,7.2,17136.44568,95114,9,9,0.589,9.2
64.6,217,0,0.49,70.75572222,79,0,69.7,0,96,9.1,77,0.1,826.58554,87343,0.2,0.2,0,11.7
66.4,21,40,0.01,45.33788677,88,122,22.9,52,88,2.28,88,0.3,1262.893782,51924182,12.9,13.1,0.547,9.1
75.4,83,19,0.01,0,99,99,58.5,22,99,6.89,99,0.1,57.5618311220986,60.5009408796067,8.3,8.4,0.77,14.9
71.5,165,17,4.43,404.4205858,8,3,47.5,21,83,5.96,8,0.1,2395.856551,498899,2.5,2.3,0.653,11.4
67.6,187,1000,3.11,67.67230438,7,13822,17.5,1300,82,4.53,83,0.2,1452.195373,127856227,26.8,27.5,0.599,11.5
73.6,163,9,8.27,0,71,78,57.1,11,73,4.85,71,0.1,74.0129082086858,44.50081868745,1.6,1.6,0.714,12.4
83.1,55,0,1.79,0,96,0,33.2,0,96,2.03947570373683,96,0.1,53629.73746,17876.4187136047,2.2,2.2,0.924,15.4
56.6,343,26,1.71028169825502,46.0744686,45.9663909858103,441,21.1736848431479,39,44,2.74,39,3.5,1151.861715,1153971,1.64247693935678,1.64406895672107,0.421,4.9
78,16,1,4.15,1185.412346,88,0,51.4,1,89,7.82,89,0.1,5245.187372,438794,2,1.9,0.727,12.6
65.5,26,0,0.53,30.46703899,95,0,75.7,0,95,1.42,99,0.1,1692.613277,14656,0.1,0.1,0.585,11.9
65.8,232,3,0.01,796.8734263,84,86,33.3,4,84,8.24,84,3.7,5749.44752,2263934,9.5,9.4,0.619,11.5
79.9,77,0,9.51,3682.88717,95,1,62.4,0,99,9.76,99,0.1,31997.2821,1177841,0.8,0.7,0.853,15.9
72.6,154,0,7.91,145.8401998,97,0,43.9,0,94,6.41,97,0.1,7365.666659,2455.20018440011,3.8,3.8,0,15.8
58.7,276,3,0.5,49.06967155,58.7,0,11.9,4,58.7,3.26,58.7,0.1,422.28633,87167,12.2,12.2,0,0
72.5,169,3,3.64,275.064434,97,0,48.6,3,97,6.98,97,0.2,1518.85386,559456,1.9,1.8,0.607,11.1
75.4,124,1,5.86,27.46880965,95,0,56.3,1,93,7.18,95,0.1,488.768855,3327773,1.7,1.7,0.746,14.7
59.1,297,22,0.01,41.25159038,95,0,18.2,32,95,7.54,95,0.7,312.7489794,989179,7.4,7.3,0.404,10.6
66.9,194,0,0.01,8.198047581,96,0,28.5,0,96,8.6,96,0.5,138.949959,182889,5.9,5.7,0.553,10.8
79.3,81,0,9.95,2785.139364,93,122,6.5,1,96,9.36,96,0.1,22551.73574,1987314,0.8,0.7,0.839,15.6
75.5,17,16,1.45,181.9083783,96,565,65.3,19,96,5.41,96,0.1,12127.22522,773628,4.9,4.7,0.759,14.5
74.1,9,8,0.09,196.3808305,98,294,65.6,9,98,3.86,98,0.1,2533.9462,945.643927623983,7.5,7.4,0.818,14.5
61.6,288,11,0.82,20.53327531,66,0,44.2,14,79,4.36,73,1.1,1166.66337,6947447,1.4,1.3,0.477,9.2
55.6,317,31,0.16,10.3839337,55.2747315942041,4,19,49,53,3.2,57,2.6,296.68382,9881428,9.1,9.1,0.356,7.1
75.6,127,35,5.21,1033.039737,93,0,6.1,40,95,6.39,95,0.1,8959.581416,117318941,1.6,1.6,0.739,12.5
74.6,142,3,2.56,41.62053588,99,2107,21.9,3,99,3.68,99,0.1,361.289374,2585,15.2,15.1,0.757,13.8
73.4,135,3,0.46,297.5913833,96,1407,3.7,4,96,3.29,96,0.1,5593.822995,25659393,9,8.8,0.734,12.9
73.6,157,6,6.05,587.8828228,8,0,52.6,8,85,4.41,82,1.2,4952.67753,9767758,3.4,3.3,0.695,12.9
68.3,181,910,11.9184384067009,0,87,90387,18.7,1100,86,26.9985993597715,87,0.2,1613.18878,1395398,26.7,27.3,0.615,11.6
72.3,134,1,3.74,7.132564768,64,6847,48.1,1,66,8.53,78,0.1,127.367228,4245,2.8,3,0.694,12
85,78,0,9.53,259.7786785,91.9654224109997,1,58.9,0,95,9.29,95,0.1,2315.31799,259953,1.4,1.4,0.878,16.8
61,296,2,8.87,218.1727473,49.5302172565665,15,28.1,3,44,2.89,45,9.5,4116.46693,1231122,8,7.8,0.637,12.2
54.2,318,51,0.01,0,42,3173,23.3,81,47,4.08099739813409,42,0.8,47.5432354,1100.54432492209,6.8,6.6,0.381809237633082,3.0374121916406
68.1,187,138,0.08,190.5453646,83,18869,22.9,167,82,2.74,81,0.3,3113.48635,242524123,1.6,1.5,0.656,12.1
63,232,49,0.01,29.75517982,71,272,18.1,90,71,6.11,71,0.7,391.515524,17731634,1.3,1.1,0.331,5.1
72.6,11,1,3.66,91.71154052,96,662,45,1,97,6.26,97,0.1,1175.788981,38927,2.1,2.2,0.656,10.7
75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437.539647,2947314,1.6,1.6,0.713,12
76.2,131,0,8.56,2422.999774,99,0,47,0,96,5.54,99,0.2,12888.29667,4296.0603331299,3.3,3.3,0.782,13.9
75.8,122,1,5.53,623.9100503,92,0,5.3,2,88,7.48,92,0.1,4916.54886,333465,2.1,2.1,0.74,12.9
74.9,126,1,9.38,742.5109709,97,0,58.3,1,93,9.89,91,0.1,5659.3824,719977,2.1,2.1,0.767,14
72.7,134,1,3.03,7.341493148,93,4,48.1,1,96,5.56,94,0.1,93.1661567,31786,2,2.1,0.657,10.8
73.4,16,0,1.6,611.9093566,97,37,17.3,0,96,5.89,96,0.1,3853.33348,312,14.5,14.6,0.617,12.2
68.5,199,0,4.99,262.8299189,97,0,42,0,93,4.38,89,0.1,3556.561825,26226,3.7,3.6,0.678,11.9
62.1,234,11,5,0,5,1678,16.1,15,46,4.14,5,0.2,75.6001859388691,846.520320555661,9.7,9.8,0.509,9
81.6,66,0,8.7,0,92,10,67.5,0,92,3.6193563693054,92,0.1,3821.8937,1277.28656277101,0.4,0.3,0.913,19.2
74.2,17,1,1.64,262.9589578,92,69,54.1,1,94,2.38,94,0.1,3371.26869,1147.0801364296,5.4,5.1,0.791,11.8
76,172,0,2.88,42.12368374,44,0,72,0,45,5.4,49,0.1,335.112838,184826,0.2,0.2,0.691,12.9
82.7,56,1,0.759233996845584,0,93,159,63.6,2,93,0.6,93,0.1,349.14755,673582,0.6,0.6,0.881,16.3
56.7,295,87,0.01,11.08905273,65,798,13.4,122,41,8.82,41,0.1,198.7285436,2364851,19.7,19.9,0.373,6.5
53.1,336,51,0.01,0,46.9939155529602,9983,22.9,82,47,4.11127922147327,42,0.8,119.565563573931,5032.62098245436,6.8,6.7,0.381809237633082,3.08335167861542
57.4,41,3,5.73,35.80978512,49.3627235135474,469,24.5,4,8,6.11,79,22.8,257.99557,1899257,15.7,15.9,0.559,11.5
65.9,177,11,0.38,2.093721752,81,4,33,13,82,5.7,86,0.3,39.281834,6712841,3.9,3.9,0.563,10.5
59.9,268,66,0.01,73.21924272,64,430,18.1,89,62,8.13,64,0.1,631.744976,31731688,17.7,17.7,0.47,9.9
55.5,41,88,9.65,6.002527685,73,3776,15.2,137,7,9.76,73,8.4,41.858631,359487,6.3,6.3,0.442,10.3
86,71,0,0.99969958205812,0,90.8757956876998,9,58.8,0,93,1.00046688007615,93,0.1,5314.64416,5683483,1.1,0.9,0.923,19.2
47.9,578,36,2.46,8.369851529,72.673739548443,35,18,59,84,7.33,83,17.6,53.2772217,11731746,7.2,7.1,0.456,10.5
64.4,261,5,0.01,0,94,127,18,8,94,3.34,94,0.4,112.285719376147,67.5014540866648,8.5,8.3,0.416,5
73.9,118,23,1.4,106.9482898,94,4,61.1,27,96,6.8,96,0.1,936.499911,71339185,4.9,4.8,0.709,12.5
55.3,316,12,4.19,22.39648813,40.4668806638096,8,22,16,66,8.4,6,3.1,168.648254,326123,8.3,8.3,0.372,10.1
63.2,266,2,2.87,61.84921903,95,10677,39.1,3,95,5.45,95,0.1,524.145924,2419776,2.5,2.6,0.588,9.4
73.1,13,391,2.96,122.9365349,75,71879,22.6,467,87,4.82,86,0.1,1288.642924,12884,5.3,4.7,0.61,9.9
81.4,64,0,1.7,3404.13099,97,18,31.2,0,97,3.91,97,0.1,39721.4818,13246.375275359,2.1,2.1,0.88,14.2
69.9,188,0,2.14925895481254,0,99,0,62.7,0,99,3.85070032011422,99,0.1,4921.89629,892149,4,3.7,0.734,15.3
68.3,214,0,4.55,4.23257668,79.6071485405356,0,5.4,0,84,6.88,85,0.9,36.48773,49363,3.5,3.5,0,11.1
62.8,235,71,0.41,3.421880938,75.7095187349894,736,14.6,96,84,2.5,79,0.4,143.77651,471422,13.3,13.7,0.435,7.6
73.1,119,4,0.61,535.2786404,97,2,6.1,4,98,8.78,97,0.1,3385.69665,6489822,3.8,3.8,0.739,13.6
61.3,273,1,0.44,187.4960097,88,7,32.2,2,88,8.84,88,3.1,1325.99724,851146,5.6,5.6,0.441,5.5
82.5,58,0,1.02886595356809,0,96,80,64.9,1,95,1.15023344003807,95,0.1,35729.37253,8381,1.2,1.1,0.898,16
84,76,0,8.2,2528.992935,98,3,64.9,0,99,9.24,99,0.1,22242.68193,114511,0.8,0.7,0.858,16.8
75,139,0,9.97,0,99,0,46.7,0,99,6.72,99,0.1,75.2757829541457,0,4.3,4.3,0.723,13.1
74.1,172,0,10.49,0,93,0,58.1,0,93,5.95,93,0.1,83.8169542006522,0,2.6,2.5,0.786,12.4
72.9,14,0,0.96,7.033980828,82,0,73.3,0,84,4.6,82,0.1,445.18866,14577,0.1,0.1,0.712,14.4
74.9,156,0,15.04,1717.088711,95,0,57.1,0,95,6.93,95,0.1,14726.31828,1334515,2,2,0.836,16.1
75.4,1,0,8.82,294.9056584,94,0,53.7,0,95,7.47,94,0.1,15359.66971,5119.84395305729,3.8,3.7,0.793,15.3
67.3,171,10,0.32,43.34099958,93,0,36.6,12,95,6.4,93,0.2,738.3475227,764163,3.7,3.8,0.603,11.1
78.1,98,0,9.25,3099.357319,90.9858699403875,0,56.6,0,95,7.81,98,0.1,26834.2625,52598,0.9,0.8,0.863,18
74.2,147,0,10.87,0,97,0,43.8,0,97,8.1,97,0.1,77.1738783310263,0,4.3,4.3,0.724,12.8
65,212,0,0.76,18.19457876,88,0,72.8,0,86,1.93,86,0.1,1151.555618,9426,0.2,0.1,0.576,12.1
69,279,1,0.49,177.2671607,89,48,31.7,2,89,8.37,89,3.2,1253.657431,83684,5.7,5.6,0.436,5.3
72.1,174,6,5.93,857.1307037,74,0,55.8,7,85,4.26,85,0.4,5968.876767,115495,3.3,3.2,0.706,13.1
68.1,192,0,1.21,244.3976438,92,0,45.5,0,98,7.92,92,0.1,1158.282672,51679,1.2,1.2,0.494,9.3
67.9,199,32,0.01,43.5240801,62,1317,58.5,39,67,5.54,64,0.1,673.74737,3568,5.3,5.1,0.658,10.1
53.6,377,27,0,0,53.6,0,25.388301410231,42,53.6,0,53.6,4.2,1678.711862,9263136,0,0,0,0
61.8,286,10,0.79,18.99961966,56,0,44.9,14,72,4.18,67,1.1,1366.879112,718239,1.4,1.3,0.485,9.6
67.7,219,0,4.23,191.2135044,66.9336420148281,0,48.3,0,65,8.38,68,1.8,1598.77512,47774,3.6,3.5,0,11
72.7,16,5,1.68,53.61278637,90.3225186998293,309,14.6,6,98,3.81,98,0.1,837.699787,18797,15.4,15.6,0.686,12.5
75.5,79,0,2.1,170.7374027,98,3,56.8,0,98,3.8,98,0.1,1937.99549,646.992727848972,6.1,5.9,0.81,14.2
65.7,222,12,2.86,0,85,0,46,16,84,5.67,85,0.2,97.103105939904,7.99980449254927,1.3,1.2,0.622,14.4
47.8,592,5,2.75,91.85432774,88,0,28.8,6,86,8.85,88,27.3,934.428563,199993,8,7.8,0.447,10.7
62.1,23,22,0.32,8.309152927,94,11,2.3,36,93,4.72,94,0.7,95.3978522,11873557,11,1.9,0.425,6.8
54.8,491,2,6.45,76.31867911,93,6,33.2,3,96,4.93,96,14.4,5374.554867,1884238,9.6,9.4,0.61,11.9
44.6,613,43,1.08,4.375316094,84,167,15.2,70,85,6.35,84,24.2,26.152517,12336687,7.6,7.5,0.362,10.3
71.9,138,2,0.01,472.3047034,97,292,56,3,98,2.71,98,0.1,8171.361651,2822.09890024441,5.5,5.4,0.748,15.7
51.8,412,60,4.64,67.63925302,66.2415886254854,899,22.3,95,72,4.97,73,7.7,824.8689393,16513822,7.2,7.3,0.452,8.1
72.8,126,28,1.29,103.523776,82,34,58.5,34,9,5.81,9,0.1,834.869161,6876345,5,4.8,0.687,11.9
70,226,0,14.09,434.7985025,98,0,58.7,1,98,6.9,96,0.1,5176.172649,956765,2.1,2.2,0.771,15.4
77,116,0,1.09993166628832,0,95,0,64,0,95,1.45023344003807,95,0.1,15524.84247,3431552,1.5,1.4,0.794,15.5
58.1,278,14,5.16,0,55.105191403194,332,12.3,20,57,3.41,51,0.1,104.065081872521,176.003812395289,1.5,1.5,0.459,8
76.7,17,3,11.45,0,89,23060,25.2,4,99,4.76,97,0.1,36.0522044352028,11532.2817262365,1.6,1.1,5.65504364047905,5.93836180024363
78.7,9,0,12.5,3979.057728,81,0,51.2,0,82,1.27,83,0.1,26351.37568,881957,1.7,1.9,0.847,16.1
71.8,123,21,0.51,171.3658969,97,1455,51.7,24,99,5.41,99,0.1,2884.94776,31596855,6.4,6.3,0.589,10.3
52.3,375,513,8.75,187.5733187,46,18843,22.8,802,48,3.69,48,4.7,2527.9423,16287776,11,1.9,0.5,9.6
77,14,0,11.34,4801.546125,91.6273870630994,32,53.3,0,98,9.33,98,0.1,33228.69291,5375931,1.2,1,0.875,16.6
72,165,54,0.23,0,93,245,58.6,64,93,5.29,93,0.1,81.6027102216463,154.502211678036,2.9,2.8,0.673,12.4
73.8,128,0,0.01,660.2777923,56,0,74.3,0,58,7.22,63,0.1,4178.973369,19229,0.2,0.1,0.701,12.9
52.9,279,56,0.11,20.86118432,46.6544455847782,63057,15,118,45,6.61,43,1.6,232.5661574,1312712,12.1,12,0.27,3.1
78,96,0,12.89,7877.33656,86,0,54.6,0,99,7.4,99,0.1,48179.4285,441525,1,1,0.854,13.4
81,84,2,7.2,2442.222054,9,0,62.5,2,9,7.53,91,0.1,15941.39722,17462982,0.8,0.8,0.831,15.6
71.3,145,21,0.25,154.4559436,81.5391709441696,0,44.4,25,86,3.49,86,0.1,1757.17797,3118366,6.5,6.4,0.636,10.7
77.7,11,0,13.33,2813.985285,94,7,54.1,1,93,9.98,93,0.1,18784.9485,15333,0.7,0.6,0.79,15.4
83,76,0,11.42,2052.393076,95,0,58.8,0,96,8.11,99,0.1,13198.6693,497783,0.9,0.9,0.888,13.5
73.2,168,0,2.9125550516604,0,98,0,37.4,0,97,5.84929967988578,97,0.1,1539.464,93419,5.7,6,0.781,14.1
68.5,211,52,0.818099242037607,0,6,619,25.4,66,79,5.32969071668749,6,0.1,2878.33837,11716359,1,9.7,0.679,11.7
48.5,45,44,0.34,72.38451279,32.5961572280905,10324,15.1,78,31,5.72,21,5.2,454.6765879,97143,1.7,1.6,0.301,5.6
76.8,114,28,8.21,0,9,85,6.1,33,9,13.7,94,0.1,65.7865958170237,59.0006353992149,0.8,0.7,7.52123796967819,8.25649215326449
75.8,133,1,3.83,427.3054534,92,0,53.5,1,93,5.36,92,0.5,4855.743789,286287,1.8,1.7,0.727,12.8
59.2,296,59,0.3,9.53048032,85,333,18.3,96,85,1.87,85,0.6,643.951373,49479752,13.2,13.4,0.493,8.2
68.9,219,4,2.88,332.1056586,75,2,46.2,4,94,8.2,92,0.4,2338.772244,595962,2.1,2,0.615,11.6
82.2,6,1,2.62,4348.33531,97,6,64.6,1,95,7.81,95,0.1,37582.84624,82157,1.2,1.1,0.895,16
81.3,7,2,10.24,5596.535203,97,297,62.3,2,97,8.8,97,0.1,35578.73619,4595416,0.6,0.5,0.854,16.1
65.4,215,0,4.36,62.8565863,99,0,25.4,0,99,5.66,99,0.9,1126.46212,166913,6.5,6.4,0.531,10.4
67.4,232,1,0.17,27.48907048,93,6,19.5,1,93,6.3,93,0.4,177.234497,714458,16.8,17.5,0,10.9
74,131,3,0.47,431.5452472,96,153,34.4,4,97,3.97,97,0.1,7326.744435,2765383,8.3,8.2,0.756,12.6
68.5,166,9,3.13,0,92,3550,28.7,12,99,4.57209126306414,92,0.1,81.6027962047984,1781.04323158504,5.5,5.5,1.70394684806552,4.21876584130322
58.3,34,14,1.44,39.08258546,85,187,22,21,85,5.21,85,2.6,562.3393592,6679282,7.1,7,0.457,11.5
52,299,59,0.54,6.660451777,79,232,17,106,67,6.25,63,2.2,391.791281,125128,1.3,1.2,0.318,5.2
69.3,191,0,5.53,78.72216127,76,0,36,1,91,5.13,91,0.5,884.518666,128452,6.4,6.9,0.729,12
73,142,6,0.01,0,93,3,32.4,8,99,2.98545412505639,93,0.1,74.3273371477698,5.49993890392165,4.9,4.9,0.0523580144138954,2.25644091306867
74.9,98,1,2.55569023149402,0,81,39,66.1,1,75,4.9,81,0.1,846.632851,5851479,4.9,4.9,0.763,13.3
51.3,385,25,6.09,10.61917585,69.0613425881635,0,13,40,72,4.96,81,5.3,133.7427689,6555829,8.8,8.8,0.268,4.5
75.7,12,0,1.33273013619601,0,92,1,6.3,0,92,2.1,91,0.1,32.5731940813916,0.500012219215671,2.1,2.1,0.746,12.9
74.7,14,7,3.63,19.60467787,94,0,48.6,9,95,5.94,96,0.2,359.71886,1425453,1.4,1.3,0.696,12.9
51.2,364,46,0.5,43.57328908,39,194,17.1,80,43,2.95,39,4.1,896.5697341,1188722,9.4,9.3,0.36,6.7
78.3,78,0,2.03,1855.828806,97,141,28.5,0,98,2.71,98,0.1,23792.677,7977.82251423503,2.1,2,0.81,12.5
68.7,171,0,1.76,0,88,0,66.4,0,85,13.83,85,0.1,80.970756950004,0,0.2,0.2,0.633,11.5
71,184,0,5.1,0,31,0,42.9,0,99,3.91,99,0.4,89.5102085334692,0,3.8,3.8,0.682,13
58.8,284,27,0.01,5.140668848,63,53,22.2,41,63,5.49,63,1,54.169324,11536615,7.7,7.6,0.406,8.5
73.7,121,0,7.65,13.5139917,91,0,45.4,0,9,5.82,89,0.4,1228.5447,409.511224662628,4.1,4.1,0.753,14.2
67.6,167,14,3.08,0,76.4711889362291,0,26.2,18,99,4.79590605984847,64,0.1,73.064548385462,8.99978005411792,5.9,5.9,1.67747907829546,4.37549353268991
68.7,174,10,1.13953016453105,0,89,0,19.6,12,87,1.9,89,0.2,1163.18977,15517635,1.9,1.9,0.558,10.9
76.7,73,0,1.83,91.13971812,97,0,22.1,0,97,7.93,96,0.1,633.79498,367,14,14.1,0.653,11.6
72.7,174,0,0.01,177.2633961,99,0,34.8,0,98,4.8,98,0.1,12845.17363,8833,5.7,6.1,0.755,13.5
67,322,6,0.49,11.76572311,94,0,15.1,9,94,3.69,94,1.1,326.825642,4232636,9.1,9.1,0.406,5.2
68.5,183,19,2.83,140.6905284,99,476,41.4,22,99,5.65,99,0.1,1564.966945,293394,3,3.1,0.664,12
74.2,111,0,1.72,0,97,27,56.4,0,96,6.85,95,0.1,65.1538686970128,13.5003299188231,2.4,2.4,0.714,12.2
81,54,0,9.04,212.0859259,96,0,59.2,0,99,7.46,99,0.1,2797.96736,1143896,0.9,1,0.85,13.8
73.9,154,0,0.01,915.1859205,98,0,31.8,0,98,4.76,98,0.1,9291.227619,1255882,7.1,7,0.756,14.3
